feature,mean_saliency_correct,median_saliency_correct,mean_saliency_incorrect,median_saliency_incorrect,mean_saliency_diff_correct_minus_incorrect,abs_mean_saliency_diff
HGT@surface,9.136046666666667e-07,9.364324e-07,2.0620409333333334e-06,1.8819982e-06,-1.1484362666666665e-06,1.1484362666666665e-06
TMP@850mb,1.3092790166666666e-07,1.322684e-07,3.6183649666666666e-07,3.0707318e-07,-2.30908595e-07,2.30908595e-07
RH@2m_above_ground,1.5461121e-07,1.5484554e-07,3.5574444666666667e-07,3.2407053e-07,-2.0113323666666667e-07,2.0113323666666667e-07
MCDC@middle_cloud_layer,1.8012979333333333e-07,1.8967823e-07,3.7791889333333335e-07,4.17664e-07,-1.9778910000000002e-07,1.9778910000000002e-07
TMP@1000mb,3.4481620333333333e-07,3.723538e-07,5.415551866666666e-07,6.142463e-07,-1.9673898333333326e-07,1.9673898333333326e-07
UGRD@700mb,1.2477777466666669e-07,1.4038024e-07,3.0694803e-07,2.746247e-07,-1.821702553333333e-07,1.821702553333333e-07
APCP_1hr_acc_fcst@surface,1.2578371e-07,1.337812e-07,3.061985833333333e-07,2.2810298e-07,-1.8041487333333333e-07,1.8041487333333333e-07
VGRD@925mb,1.4691712666666668e-07,1.456493e-07,3.246226e-07,2.660254e-07,-1.7770547333333334e-07,1.7770547333333334e-07
VGRD@850mb,1.3171317333333335e-07,1.3823345e-07,3.0790732333333334e-07,2.6739255e-07,-1.7619414999999998e-07,1.7619414999999998e-07
GUST@surface,1.3761058666666666e-07,1.4229258e-07,3.0119310666666665e-07,2.522772e-07,-1.6358252e-07,1.6358252e-07
UGRD@1000mb,1.2216391e-07,1.3177815e-07,2.7434754666666666e-07,2.6435478e-07,-1.5218363666666666e-07,1.5218363666666666e-07
VGRD@10m_above_ground,8.550817533333333e-08,8.5613856e-08,2.3080437000000003e-07,2.2306662e-07,-1.452961946666667e-07,1.452961946666667e-07
UGRD@250mb,1.8517364e-07,2.151749e-07,3.2713375e-07,3.384873e-07,-1.4196010999999998e-07,1.4196010999999998e-07
DPT@500mb,1.3045273666666666e-07,1.431297e-07,2.7003968333333337e-07,2.9216554e-07,-1.395869466666667e-07,1.395869466666667e-07
LCDC@low_cloud_layer,1.2361288666666664e-07,1.3173769e-07,2.628479333333333e-07,2.6070035e-07,-1.3923504666666668e-07,1.3923504666666668e-07
VGRD@250mb,1.5685977333333334e-07,1.6828173e-07,2.883808466666667e-07,2.6062645e-07,-1.3152107333333336e-07,1.3152107333333336e-07
DPT@850mb,1.1237797333333332e-07,1.2203934e-07,2.430233533333333e-07,2.3413523e-07,-1.3064538e-07,1.3064538e-07
RHPW@entire_atmosphere,7.6758548e-08,7.9191594e-08,1.840473e-07,1.5996793e-07,-1.0728875200000002e-07,1.0728875200000002e-07
TMP@2m_above_ground,1.2765526333333331e-07,1.2564038e-07,2.2211773e-07,2.2819867e-07,-9.446246666666669e-08,9.446246666666669e-08
VGRD@700mb,1.2163675333333335e-07,1.2401513e-07,2.1450272000000002e-07,2.0291985e-07,-9.286596666666667e-08,9.286596666666667e-08
VGRD@1000mb,8.581102466666666e-08,9.266633e-08,1.7843172e-07,1.9337708e-07,-9.262069533333335e-08,9.262069533333335e-08
TMP@700mb,6.208796333333333e-08,6.818495e-08,1.4821455133333335e-07,1.5317669e-07,-8.612658800000002e-08,8.612658800000002e-08
UGRD@10m_above_ground,2.3230978e-07,2.6279966e-07,3.183122400000001e-07,3.306769e-07,-8.600246000000009e-08,8.600246000000009e-08
VIL@entire_atmosphere,1.8134045666666667e-07,2.0554627e-07,2.6646143666666664e-07,2.5403293e-07,-8.512097999999997e-08,8.512097999999997e-08
DPT@1000mb,7.3542985e-08,7.7331705e-08,1.5856716666666666e-07,1.505389e-07,-8.502418166666667e-08,8.502418166666667e-08
TCDC@entire_atmosphere,1.2009917866666668e-07,1.2807764e-07,2.0167869e-07,1.7915359e-07,-8.157951133333332e-08,8.157951133333332e-08
DPT@925mb,6.914046866666666e-08,7.0217666e-08,1.4903001333333332e-07,1.2298392e-07,-7.988954466666666e-08,7.988954466666666e-08
CAPE@surface,8.611774866666667e-08,8.8199556e-08,1.6487146e-07,1.3944921e-07,-7.875371133333333e-08,7.875371133333333e-08
TMP@925mb,1.0251432666666666e-07,1.0612155e-07,1.8012310666666667e-07,1.3418152e-07,-7.760878000000001e-08,7.760878000000001e-08
PWAT@entire_atmosphere_single_layer,9.943113000000001e-08,1.1791094e-07,1.7108824133333333e-07,1.4778917e-07,-7.165711133333332e-08,7.165711133333332e-08
VGRD@500mb,1.4423646333333333e-07,1.5351897e-07,2.080956633333333e-07,2.1439531e-07,-6.385919999999997e-08,6.385919999999997e-08
UGRD@850mb,2.3358820666666667e-07,2.6116635e-07,2.9121054e-07,3.0855202e-07,-5.7622333333333354e-08,5.7622333333333354e-08
DSWRF@surface,6.138797233333334e-08,5.886542e-08,1.1257547800000001e-07,8.1944734e-08,-5.118750566666668e-08,5.118750566666668e-08
DPT@700mb,8.25289e-08,8.7470326e-08,1.3340237e-07,1.3232639e-07,-5.0873470000000006e-08,5.0873470000000006e-08
HCDC@high_cloud_layer,1.269923e-07,1.5485794e-07,1.7754132333333335e-07,1.7879267e-07,-5.054902333333334e-08,5.054902333333334e-08
TMP@500mb,1.2797574666666666e-07,1.4581884e-07,1.7211946333333332e-07,1.5214152e-07,-4.4143716666666655e-08,4.4143716666666655e-08
UGRD@500mb,1.7426066333333332e-07,1.7876991e-07,2.1617280000000003e-07,2.1219975e-07,-4.1912136666666706e-08,4.1912136666666706e-08
HGT@1000mb,1.3003563666666667e-07,1.4511208e-07,1.6661391666666668e-07,1.5753099e-07,-3.657828000000001e-08,3.657828000000001e-08
HGT@850mb,1.1894672333333333e-07,1.2646471e-07,1.5536083333333334e-07,1.5270246e-07,-3.641411000000001e-08,3.641411000000001e-08
HGT@500mb,3.7954729333333333e-08,3.845379e-08,7.427492066666666e-08,6.825802e-08,-3.632019133333333e-08,3.632019133333333e-08
HGT@700mb,9.397608299999999e-08,1.06333374e-07,1.21405348e-07,1.1482126e-07,-2.7429265000000022e-08,2.7429265000000022e-08
UGRD@925mb,1.5568836166666667e-07,1.8842996e-07,1.7668505333333333e-07,1.7064673e-07,-2.0996691666666655e-08,2.0996691666666655e-08
